Data;Capital fixo - estoque bruto - construção - R$ de 2000 - Instituto de Pesquisa Econômica Aplicada (IPEA) - GAMMA_EBKCT;Capital fixo - estoque bruto - adm. pública - R$ de 2000 - Instituto de Pesquisa Econômica Aplicada (IPEA) - GAMMA_EBKG;
1950;94,7997478173695;33,0984140204604;
1951;103,136766429837;37,5616219535582;
1952;112,13389693044;42,1886616822792;
1953;123,418255167519;46,3487496234718;
1954;133,378372109515;50,5828090488314;
1955;143,470655070176;55,1968999728833;
1956;156,002840174293;59,7627106846409;
1957;169,656195422501;67,4042603058503;
1958;186,585211587139;75,9786071369617;
1959;204,918216871402;83,238711723903;
1960;223,335745828589;92,2146358374642;
1961;237,020127472434;100,336469323156;
1962;254,772964876857;108,932821832905;
1963;274,039093671348;117,296824629056;
1964;293,707095081111;126,653676645912;
1965;316,192377577832;139,965173460815;
1966;339,985241050645;152,540448817829;
1967;365,119955391119;166,881025453646;
1968;395,360374337655;181,426705022231;
1969;428,346145186946;199,114513496113;
1970;460,811362469153;214,932388950478;
1971;497,313574259675;232,756663755705;
1972;540,143946733379;251,223638662699;
1973;592,164960553425;273,083979111822;
1974;648,393492171796;297,339599150766;
1975;708,809221597321;321,261690570823;
1976;775,641898873828;350,080754506666;
1977;847,319064080106;373,741487739499;
1978;923,836379113642;396,801255672462;
1979;1002,49169044593;413,145183958694;
1980;1095,56429208355;431,713150634019;
1981;1186,12462757274;449,988028814245;
1982;1276,87535185674;466,377441987673;
1983;1354,95251315132;478,233150262179;
1984;1430,56973473;491,397037862419;
1985;1509,45658794582;508,645639232251;
1986;1600,7511409529;535,232957869237;
1987;1692,23266529861;555,845098407949;
1988;1780,72763935121;572,403743245389;
1989;1872,48714545849;584,574328544625;
1990;1954,17883052377;604,09338093935;
1991;2032,2695770793;619,894046542089;
1992;2103,27359316756;636,460025714783;
1993;2176,9893861935;649,999314343596;
1994;2254,84685576323;668,487673895173;
1995;2330,47085339738;681,523479490492;
1996;2408,8543354686;692,084003473112;
1997;2495,04028595466;699,841777524806;
1998;2580,69971211808;715,363003982677;
1999;2661,72278027;721,936980072763;
2000;2743,8177474263;730,542992313765;
2001;2826,06877443463;741,388303169869;
2002;2901,49865262164;751,887003116362;
2003;2970,59586121228;759,109377733881;
2004;3045,79456648602;766,203981666384;
2005;3118,74254443105;771,465994910621;
2006;3195,37865510442;776,851782644586;
2007;3277,14456227028;788,13725536193;
2008;3364,59281658804;805,830983585934;
